time,symbol,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last,previousClose,change,percentage,average,baseVolume,quoteVolume
70223,ETH/USDT,174.55,169.63,171.05,12.64782,171.07,0.27899,171.97992274,170.96,171.07,171.07,170.93,0.11,0.064,,446423.20952,76775829.0813127
70234,ETH/USDT,174.55,169.63,171.06,1.819,171.07,0.33116,171.97998934,170.96,171.08,171.08,170.95,0.12,0.07,,446394.72557,76770960.145154
70244,ETH/USDT,174.55,169.63,171.04,0.27633,171.05,0.87,171.98000372,171.0,171.05,171.05,171.0,0.05,0.029,,446388.51563,76769898.5807443
70254,ETH/USDT,174.55,169.63,171.19,8.76172,171.21,0.76963,171.97996064,171.13,171.2,171.2,171.08,0.07,0.041,,446422.73325,76775764.0949232
70264,ETH/USDT,174.55,169.63,171.24,13.7425,171.28,0.20391,171.97992535,171.19,171.25,171.25,171.19,0.06,0.035,,446449.26667,76780311.5551935
70274,ETH/USDT,174.55,169.63,171.27,18.025,171.3,12.43287,171.98028628,171.19,171.26,171.26,171.2,0.07,0.041,,446229.59636,76742693.7280517
70284,ETH/USDT,174.55,169.63,171.33,16.99544,171.34,1.01025,171.98102872,171.25,171.33,171.33,171.29,0.08,0.047,,445773.58823,76664600.2821532
70294,ETH/USDT,174.55,169.63,171.29,21.82966,171.32,10.17947,171.98121111,171.37,171.31,171.31,171.4,-0.06,-0.035,,445650.12834,76643448.8052947
70305,ETH/USDT,174.55,169.63,171.26,8.93251,171.27,4.20352,171.98128186,171.41,171.26,171.26,171.41,-0.15,-0.088,,445597.58758,76634444.3037431
70315,ETH/USDT,174.55,169.63,171.34,10.28177,171.35,0.76477,171.98134589,171.39,171.32,171.32,171.37,-0.07,-0.041,,445550.25171,76626331.9500472
70325,ETH/USDT,174.55,169.63,171.39,10.0,171.4,29.67501,171.98140344,171.34,171.43,171.43,171.35,0.09,0.053,,445510.81144,76619574.6010319
70335,ETH/USDT,174.55,169.63,171.35,10.0,171.37,1.61363,171.9814883,171.22,171.36,171.36,171.23,0.14,0.082,,445461.84196,76611190.5604021
