time,high,low,bid,bidVolume,ask,askVolume,vwap,open,close,last
85296,12.6426,11.3184,12.3345,4.09,12.3417,21.05,11.96801748,11.4098,12.3417,12.3417
85297,12.6426,11.3184,12.3349,4.09,12.3439,30.86,11.96801748,11.4098,12.3417,12.3417
85298,12.6426,11.3184,12.3349,4.09,12.3439,15.86,11.96801865,11.4098,12.3439,12.3439
85300,12.6426,11.3184,12.3349,4.09,12.3483,266.68,11.96801865,11.4098,12.3439,12.3439
85301,12.6426,11.3184,12.3292,87.74,12.33,2140.25,11.96819388,11.4098,12.33,12.33
85302,12.6426,11.3184,12.3299,50.29,12.33,1366.53,11.968252,11.4098,12.33,12.33
85303,12.6426,11.3184,12.3299,25.83,12.33,1237.81,11.96826167,11.4098,12.33,12.33
85304,12.6426,11.3184,12.3299,7.16,12.33,1133.18,11.96827102,11.4098,12.33,12.33
85306,12.6426,11.3184,12.32,7.66,12.3285,4.09,11.96831178,11.4098,12.32,12.32
85307,12.6426,11.3184,12.3202,4.09,12.3286,40.4,11.9683129,11.4098,12.3286,12.3286
85308,12.6426,11.3184,12.3204,39.71,12.3287,15.26,11.96832602,11.4067,12.329,12.329
85309,12.6426,11.3184,12.3212,26.68,12.3287,0.25,11.96832714,11.4067,12.3287,12.3287
85310,12.6426,11.3184,12.3212,26.68,12.3287,0.25,11.96832714,11.4067,12.3287,12.3287
85311,12.6426,11.3184,12.3213,2.3,12.3287,0.52,11.96833429,11.4066,12.3287,12.3287
85313,12.6426,11.3184,12.3213,2.3,12.3286,87.74,11.96833872,11.4062,12.3287,12.3287
85314,12.6426,11.3184,12.3206,16.38,12.3285,329.64,11.9683843,11.4047,12.3285,12.3285
85315,12.6426,11.3184,12.3206,16.38,12.3284,140.35,11.96838444,11.4047,12.3273,12.3273
85316,12.6426,11.3184,12.3203,0.97,12.3238,30.9,11.96838787,11.4047,12.3278,12.3278
85318,12.6426,11.3184,12.3203,0.97,12.3271,153.29,11.96839609,11.404,12.3278,12.3278
85319,12.6426,11.3184,12.3203,0.97,12.327,87.74,11.9683972,11.404,12.3271,12.3271
85320,12.6426,11.3184,12.319,4.17,12.3271,138.28,11.96839806,11.404,12.319,12.319
85321,12.6426,11.3184,12.3192,63.79,12.327,4.09,11.96840434,11.3978,12.3271,12.3271
85322,12.6426,11.3184,12.3192,63.79,12.327,4.09,11.96840434,11.3978,12.3271,12.3271
85323,12.6426,11.3184,12.3191,4.49,12.3271,112.35,11.96840546,11.3978,12.3271,12.3271
85325,12.6426,11.3184,12.3192,85.6,12.3279,16.66,11.96840546,11.3978,12.3271,12.3271
85326,12.6426,11.3184,12.3194,4.49,12.3279,16.66,11.96840546,11.3978,12.3271,12.3271
85327,12.6426,11.3184,12.3194,4.49,12.3279,1.64,11.96840658,11.3978,12.3279,12.3279
85328,12.6426,11.3184,12.3199,59.73,12.3296,294.76,11.96840777,11.3978,12.3296,12.3296
85330,12.6426,11.3184,12.32,4.37,12.3259,40.58,11.96840777,11.3978,12.3296,12.3296
85331,12.6426,11.3184,12.3196,4.37,12.3259,40.58,11.96840777,11.3978,12.3296,12.3296
85332,12.6426,11.3184,12.3191,4.1,12.3259,40.58,11.96840888,11.3978,12.3259,12.3259
85333,12.6426,11.3184,12.3191,4.1,12.3241,31.26,11.96840888,11.3978,12.3259,12.3259
85334,12.6426,11.3184,12.3191,4.1,12.3259,54.47,11.96840999,11.3978,12.3241,12.3241
85335,12.6426,11.3184,12.3191,4.1,12.326,40.58,11.96840999,11.3978,12.3241,12.3241
85337,12.6426,11.3184,12.3191,4.1,12.326,40.58,11.9684111,11.3978,12.326,12.326
85338,12.6426,11.3184,12.3191,4.1,12.3297,12.85,11.96841195,11.3978,12.326,12.326
85339,12.6426,11.3184,12.3261,27.88,12.3299,31.67,11.96841307,11.3978,12.3299,12.3299
85340,12.6426,11.3184,12.326,444.09,12.3279,7.26,11.96841307,11.3978,12.3299,12.3299
85342,12.6426,11.3184,12.326,444.09,12.3299,23.92,11.9684142,11.3978,12.3299,12.3299
85343,12.6426,11.3184,12.326,444.09,12.3299,23.92,11.9684142,11.3978,12.3299,12.3299
85344,12.6426,11.3184,12.3261,31.0,12.3299,8.9,11.96841532,11.3978,12.3299,12.3299
85345,12.6426,11.3184,12.326,359.95,12.3299,8.9,11.96842157,11.3978,12.326,12.326
85347,12.6426,11.3184,12.326,359.95,12.33,1032.43,11.9684298,11.3978,12.33,12.33
85348,12.6426,11.3184,12.3261,19.68,12.33,1032.43,11.96843013,11.4063,12.33,12.33
85349,12.6426,11.3184,12.3261,21.5,12.33,1017.42,11.96843126,11.4063,12.33,12.33
85350,12.6426,11.3184,12.3262,5.85,12.33,1017.42,11.96843351,11.4063,12.3299,12.3299
85352,12.6426,11.3184,12.3262,5.85,12.33,1002.41,11.96843463,11.4063,12.33,12.33
85353,12.6426,11.3184,12.3264,5.85,12.33,1002.41,11.96843463,11.4063,12.33,12.33
85354,12.6426,11.3184,12.3264,5.85,12.33,987.41,11.96843576,11.4063,12.33,12.33
85355,12.6426,11.3184,12.3268,5.85,12.33,987.41,11.96843576,11.4063,12.33,12.33
85356,12.6426,11.3184,12.3266,5.64,12.33,972.4,11.96843689,11.4063,12.33,12.33
85357,12.6426,11.3184,12.3266,5.64,12.33,956.18,11.9684381,11.4063,12.33,12.33
85359,12.6426,11.3184,12.3267,150.87,12.33,941.17,11.96843923,11.4063,12.33,12.33
85360,12.6426,11.3184,12.3299,34.87,12.33,941.17,11.96843923,11.4063,12.33,12.33
85361,12.6426,11.3184,12.3299,4.87,12.33,926.16,11.96844261,11.4063,12.33,12.33
85362,12.6426,11.3184,12.3268,5.3,12.33,926.16,11.96844261,11.4063,12.33,12.33
85364,12.6426,11.3184,12.3268,6.14,12.33,873.24,11.96844658,11.4063,12.33,12.33
85365,12.6426,11.3184,12.3268,6.14,12.33,873.24,11.96844658,11.4063,12.33,12.33
85366,12.6426,11.3184,12.327,6.14,12.33,858.23,11.96849522,11.4134,12.33,12.33
85367,12.6426,11.3184,12.3199,0.89,12.3296,6.14,11.96853865,11.4134,12.3209,12.3209
85368,12.6426,11.3184,12.3192,64.69,12.3279,42.68,11.96853984,11.4134,12.3241,12.3241
85370,12.6426,11.3184,12.3225,4.84,12.3279,21.9,11.96854096,11.4134,12.3279,12.3279
85371,12.6426,11.3184,12.3225,4.84,12.33,858.23,11.96854096,11.4134,12.3279,12.3279
85372,12.6426,11.3184,12.3225,4.84,12.33,841.55,11.96854221,11.4134,12.33,12.33
85373,12.6426,11.3184,12.3227,4.84,12.33,826.53,11.96873926,11.4096,12.33,12.33
85374,12.6426,11.3184,12.3229,4.57,12.3299,262.82,11.96877444,11.401,12.33,12.33
85375,12.6426,11.3184,12.3229,4.57,12.33,755.03,11.96879362,11.3961,12.33,12.33
85377,12.6426,11.3184,12.3231,4.73,12.33,755.03,11.96890896,11.3886,12.33,12.33
85378,12.6426,11.3184,12.3231,4.73,12.33,740.01,11.96891376,11.3887,12.33,12.33
85379,12.6426,11.3184,12.3258,4.09,12.33,728.63,11.96891489,11.3887,12.33,12.33
85380,12.6426,11.3184,12.3258,4.09,12.33,728.63,11.96891489,11.3887,12.33,12.33
85381,12.6426,11.3184,12.3194,4.09,12.3298,308.12,11.96891623,11.3961,12.3299,12.3299
85382,12.6426,11.3184,12.3194,4.09,12.3297,24.79,11.96892342,11.3961,12.3297,12.3297
85384,12.6426,11.3184,12.3267,31.76,12.33,723.05,11.96892567,11.3961,12.33,12.33
85385,12.6426,11.3184,12.3232,4.18,12.3298,247.82,11.96893101,11.3961,12.3299,12.3299
85386,12.6426,11.3184,12.3232,4.22,12.3296,459.16,11.96893373,11.3961,12.3295,12.3295
85387,12.6426,11.3184,12.3204,116.92,12.3297,25.73,11.96893485,11.3961,12.3295,12.3295
85388,12.6426,11.3184,12.3228,80.93,12.33,708.01,11.9689517,11.3954,12.33,12.33
85390,12.6426,11.3184,12.3229,4.09,12.33,677.91,11.96895396,11.3954,12.33,12.33
85391,12.6426,11.3184,12.3231,4.09,12.33,647.85,11.96895621,11.3954,12.33,12.33
85392,12.6426,11.3184,12.3243,4.09,12.33,632.83,11.96895746,11.3966,12.33,12.33
85393,12.6426,11.3184,12.323,27.82,12.3231,265.93,11.96897218,11.3966,12.3231,12.3231
85394,12.6426,11.3184,12.3228,38.42,12.3282,4.09,11.96899173,11.3966,12.3231,12.3231
85395,12.6426,11.3184,12.3229,4.09,12.33,587.7,11.96899398,11.3966,12.33,12.33
85397,12.6426,11.3184,12.3267,40.3,12.33,557.66,11.96899623,11.3966,12.33,12.33
85398,12.6426,11.3184,12.3265,5.08,12.3299,304.93,11.96900227,11.3966,12.3299,12.3299
85399,12.6426,11.3184,12.3228,6.02,12.3269,24.95,11.96901933,11.4008,12.3299,12.3299
85400,12.6426,11.3184,12.323,6.02,12.3297,216.75,11.96902157,11.4008,12.3297,12.3297
85401,12.6426,11.3184,12.3245,6.02,12.3296,40.64,11.96902381,11.4008,12.3296,12.3296
85402,12.6426,11.3184,12.3245,6.02,12.3296,10.58,11.96902606,11.4008,12.3296,12.3296
85404,12.6426,11.3184,12.3272,35.7,12.33,512.49,11.96902856,11.4008,12.33,12.33
85405,12.6426,11.3184,12.3245,6.12,12.33,482.4,11.96903082,11.4008,12.33,12.33
85406,12.6426,11.3184,12.3247,6.12,12.33,452.31,11.96903307,11.4008,12.33,12.33
85407,12.6426,11.3184,12.3249,6.59,12.33,443.43,11.96903573,11.4008,12.33,12.33
85408,12.6426,11.3184,12.3251,6.63,12.33,413.37,11.96904228,11.4003,12.33,12.33
85409,12.6426,11.3184,12.3251,6.63,12.33,383.29,11.96904453,11.4003,12.33,12.33
85411,12.6426,11.3184,12.3251,6.63,12.33,328.56,11.96904863,11.4003,12.33,12.33
85412,12.6426,11.3184,12.3254,6.52,12.3364,1.26,11.96907552,11.4003,12.3336,12.3336
85413,12.6426,11.3184,12.3287,5.7,12.3336,40.56,11.96907665,11.4003,12.3336,12.3336
85414,12.6426,11.3184,12.3286,31.65,12.3363,3.19,11.9690799,11.4003,12.3286,12.3286
85415,12.6426,11.3184,12.3248,6.26,12.3364,285.02,11.9690822,11.4003,12.3364,12.3364
85417,12.6426,11.3184,12.3248,6.26,12.3364,293.06,11.96908449,11.4003,12.3364,12.3364
85418,12.6426,11.3184,12.3251,6.89,12.3364,308.12,11.96908679,11.4003,12.3364,12.3364
85419,12.6426,11.3184,12.3311,4.79,12.3367,66.17,11.96908838,11.4003,12.331,12.331
85420,12.6426,11.3184,12.3311,4.79,12.3371,77.97,11.96910837,11.4007,12.3367,12.3367
85421,12.6426,11.3184,12.3311,4.79,12.3371,47.9,11.96911067,11.4007,12.3371,12.3371
85422,12.6426,11.3184,12.3311,4.79,12.3371,32.89,11.96911182,11.4007,12.3371,12.3371
85424,12.6426,11.3184,12.3326,4.42,12.337,8.17,11.96911589,11.4008,12.337,12.337
85425,12.6426,11.3184,12.3325,20.44,12.3394,0.91,11.9691193,11.4008,12.3325,12.3325
85426,12.6426,11.3184,12.3326,4.28,12.3395,452.75,11.96912339,11.4009,12.3395,12.3395
85427,12.6426,11.3184,12.3327,4.09,12.3395,422.61,11.9691257,11.4009,12.3395,12.3395
85428,12.6426,11.3184,12.3326,27.82,12.3391,4.09,11.96912896,11.4009,12.3392,12.3392
85429,12.6426,11.3184,12.3327,4.09,12.3391,19.24,11.96913282,11.4009,12.3391,12.3391
85431,12.6426,11.3184,12.3331,4.09,12.3392,40.12,11.96913538,11.4009,12.3392,12.3392
85432,12.6426,11.3184,12.3335,4.09,12.3394,29.93,11.96913975,11.4008,12.3394,12.3394
85433,12.6426,11.3184,12.3336,4.09,12.3434,22.5,11.96914206,11.4008,12.3434,12.3434
85434,12.6426,11.3184,12.3342,4.09,12.3435,21.95,11.96914563,11.4008,12.3339,12.3339
85435,12.6426,11.3184,12.3346,60.93,12.3449,26.37,11.96914879,11.4008,12.3371,12.3371
85437,12.6426,11.3184,12.3349,2.3,12.345,152.42,11.9691511,11.4008,12.3439,12.3439
85438,12.6426,11.3184,12.335,2.3,12.345,137.39,11.96915778,11.4007,12.345,12.345
85439,12.6426,11.3184,12.335,2.3,12.3428,7.66,11.96915894,11.4007,12.3428,12.3428
85440,12.6426,11.3184,12.3355,61.67,12.345,114.93,11.96916129,11.4007,12.345,12.345
85441,12.6426,11.3184,12.3354,24.66,12.3356,25.0,11.96916505,11.4007,12.3356,12.3356
85442,12.6426,11.3184,12.3355,4.09,12.3449,23.88,11.96916866,11.4007,12.344,12.344
85444,12.6426,11.3184,12.3358,4.09,12.3406,10.48,11.96917125,11.4007,12.3406,12.3406
85445,12.6426,11.3184,12.3361,4.09,12.3435,10.14,11.96917358,11.4007,12.3435,12.3435
85446,12.6426,11.3184,12.336,4.09,12.3432,34.33,11.96918023,11.4007,12.3432,12.3432
85447,12.6426,11.3184,12.336,4.09,12.3432,4.27,11.96918257,11.4007,12.3432,12.3432
85449,12.6426,11.3184,12.3373,0.61,12.3432,11.42,11.96918516,11.4007,12.3432,12.3432
85450,12.6426,11.3184,12.3371,16.2,12.3409,3.48,11.96918761,11.4007,12.3372,12.3372
85451,12.6426,11.3184,12.3379,1.22,12.3409,18.4,11.9691915,11.4007,12.3393,12.3393
85452,12.6426,11.3184,12.3379,1.22,12.3408,96.21,11.96919382,11.4007,12.3408,12.3408
85453,12.6426,11.3184,12.3379,1.22,12.338,17.03,11.96919613,11.4007,12.338,12.338
85455,12.6426,11.3184,12.3379,1.22,12.34,8.0,11.96919729,11.4007,12.34,12.34
85456,12.6426,11.3184,12.3379,1.22,12.3407,62.88,11.96919959,11.4007,12.3407,12.3407
85457,12.6426,11.3184,12.3371,2.07,12.3406,194.64,11.96920204,11.4007,12.3406,12.3406
85458,12.6426,11.3184,12.3371,2.07,12.3372,10.15,11.96920318,11.4007,12.3372,12.3372
85459,12.6426,11.3184,12.3371,2.07,12.3372,10.2,11.96920548,11.4007,12.3372,12.3372
85460,12.6426,11.3184,12.333,0.86,12.337,470.0,11.96923446,11.4009,12.333,12.333
85462,12.6426,11.3184,12.3261,4.27,12.3364,13.87,11.96923679,11.4009,12.3365,12.3365
85463,12.6426,11.3184,12.3266,4.33,12.3363,90.01,11.96923794,11.4009,12.3364,12.3364
85464,12.6426,11.3184,12.3269,4.33,12.3363,59.93,11.96924023,11.4009,12.3363,12.3363
85465,12.6426,11.3184,12.3269,4.33,12.3363,43.13,11.96924252,11.4009,12.3363,12.3363
85466,12.6426,11.3184,12.3269,4.33,12.3363,28.09,11.96924366,11.4009,12.3363,12.3363
85467,12.6426,11.3184,12.329,6.16,12.3428,306.27,11.96924597,11.4009,12.3428,12.3428
85469,12.6426,11.3184,12.329,6.16,12.3428,289.27,11.96925826,11.401,12.3428,12.3428
85470,12.6426,11.3184,12.329,6.16,12.3428,288.53,11.96925942,11.401,12.3428,12.3428
85471,12.6426,11.3184,12.3304,4.33,12.337,24.73,11.96926175,11.401,12.3429,12.3429
85472,12.6426,11.3184,12.3315,4.33,12.3429,16.9,11.96926597,11.401,12.3417,12.3417
85473,12.6426,11.3184,12.3321,470.0,12.345,102.66,11.9692683,11.401,12.345,12.345
85475,12.6426,11.3184,12.3329,4.29,12.3429,107.36,11.96926946,11.401,12.3429,12.3429
85476,12.6426,11.3184,12.3332,4.09,12.338,43.68,11.96927448,11.401,12.338,12.338
85477,12.6426,11.3184,12.3332,4.09,12.338,13.6,11.96927678,11.401,12.338,12.338
85478,12.6426,11.3184,12.3338,58.92,12.3429,75.8,11.9692791,11.401,12.3429,12.3429
85479,12.6426,11.3184,12.3345,4.09,12.3429,45.74,11.96928143,11.401,12.3429,12.3429
85481,12.6426,11.3184,12.3345,4.09,12.3429,15.67,11.96928376,11.401,12.3429,12.3429
85482,12.6426,11.3184,12.3345,4.09,12.3442,293.72,11.96929604,11.4013,12.3442,12.3442
85483,12.6426,11.3184,12.3345,4.09,12.345,72.59,11.96929838,11.4013,12.345,12.345
85485,12.6426,11.3184,12.3357,4.09,12.345,42.51,11.96930256,11.4013,12.345,12.345
85486,12.6426,11.3184,12.3357,4.09,12.345,12.47,11.9693049,11.4013,12.345,12.345
85487,12.6426,11.3184,12.3346,27.82,12.3444,4.09,11.9693115,11.4063,12.335,12.335
85488,12.6426,11.3184,12.3311,60.54,12.3435,28.35,11.96934328,11.4112,12.3445,12.3445
85489,12.6426,11.3184,12.3321,4.09,12.3436,18.74,11.96952563,11.4163,12.3436,12.3436
85491,12.6426,11.3184,12.333,64.09,12.3462,308.12,11.96958344,11.4137,12.3457,12.3457
85492,12.6426,11.3184,12.3378,4.09,12.3489,149.89,11.96958582,11.4137,12.3489,12.3489
85493,12.6426,11.3184,12.3378,4.09,12.3483,5.01,11.969587,11.4137,12.3483,12.3483
85494,12.6426,11.3184,12.3382,64.38,12.3489,119.87,11.96959403,11.4137,12.3489,12.3489
85495,12.6426,11.3184,12.3388,59.74,12.3489,95.07,11.96959674,11.4137,12.3489,12.3489
85496,12.6426,11.3184,12.3395,63.29,12.3499,4.77,11.96960541,11.4137,12.3499,12.3499
85498,12.6426,11.3184,12.3392,64.16,12.3515,308.12,11.9696066,11.4137,12.3516,12.3516
85499,12.6426,11.3184,12.3397,62.46,12.3421,16.53,11.96961009,11.4137,12.3421,12.3421
85500,12.6426,11.3184,12.3397,62.46,12.3476,26.68,11.96961244,11.4137,12.3528,12.3528
85501,12.6426,11.3184,12.3396,97.37,12.3404,17.89,11.9696248,11.4136,12.3404,12.3404
85502,12.6426,11.3184,12.3396,97.37,12.3397,40.46,11.96963148,11.4163,12.3404,12.3404
85504,12.6426,11.3184,12.3382,4.09,12.344,13.52,11.9696352,11.4163,12.344,12.344
85505,12.6426,11.3184,12.3384,4.09,12.3445,4.27,11.96963819,11.4163,12.3445,12.3445
85506,12.6426,11.3184,12.339,4.09,12.3496,6.72,11.96963938,11.4163,12.3501,12.3501
85507,12.6426,11.3184,12.34,5.46,12.354,12.32,11.96964175,11.4163,12.3497,12.3497
